id,title,release_date,vote_average,vote_count,popularity,original_language,overview,budget,revenue,release_year,roi
12477,Grave of the Fireflies,1988-04-16,8.446,6210,0.0091,ja,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",3700000,842132,1988,-0.7723967567567568
637,Life Is Beautiful,1997-12-20,8.44,13652,17.889,it,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,20000000,230098753,1997,10.50493765
550,Fight Club,1999-10-15,8.438,31042,19.2752,en,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",63000000,100853753,1999,0.6008532222222223
667257,Impossible Things,2021-06-17,8.4,416,5.7191,es,"After the death of her abusive husband, Matilde finds her new best friend in Miguel, her young, insecure, and disoriented neighbor.",0,0,2021,0.0
14537,Harakiri,1962-09-15,8.4,1130,4.5342,ja,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",0,0,1962,0.0
11216,Cinema Paradiso,1988-11-17,8.43,4657,4.8737,it,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",5000000,12462062,1988,1.4924124
598,City of God,2002-08-30,8.427,7888,7.8736,pt,"In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.",3300000,30641770,2002,8.28538484848485
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,8.426,26649,24.2975,en,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",93000000,871368364,2001,8.369552301075268
539,Psycho,1960-06-22,8.421,10646,9.4693,en,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",806947,50048065,1960,61.02150203173195
40096,A Dog's Will,2000-09-15,8.4,1192,1.9604,pt,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",0,4903192,2000,0.0
510,One Flew Over the Cuckoo's Nest,1975-11-19,8.413,11060,10.2251,en,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",3000000,108981275,1975,35.32709166666667
121,The Lord of the Rings: The Two Towers,2002-12-18,8.411,23139,17.4149,en,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",79000000,926287400,2002,10.725156962025316
696374,Gabriel's Inferno,2020-05-29,8.403,2437,3.1549,en,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",0,0,2020,0.0
311,Once Upon a Time in America,1984-05-23,8.397,5799,5.9998,en,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",30000000,5500000,1984,-0.8166666666666667
